activity_id,title,description,sponsor,tags,date,location,duration,audience,capacity,current_participants,organizer,img_url
49,Blockchain for Beginners,Six garden center always.,Tech Robotics Association,['Cybersecurity'],2024-02-09T16:02:55,"Exhibition Hall, Science Museum",159,Students,295,294,Tech Robotics Association,https://example.com/image49.jpg
50,Health and Wellness Seminar,Small I all professor police page.,Tech Club,['Cybersecurity'],2024-11-22T13:39:50,"Exhibition Hall, Green Building",117,Students,175,110,Tech Club,https://example.com/image50.jpg
51,AI Workshop,Live bag lose hear again.,Wellness Group,['Robotics'],2024-01-15T13:05:45,"Room 305, Health Center",152,"Students, Faculty",190,154,Wellness Group,https://example.com/image51.jpg
52,Sustainability Expo,Cost same happy indicate rate tell Democrat range.,Tech Club,['IoT'],2024-12-03T01:09:22,"Room 202, Computer Science Building",83,"Students, Faculty",189,176,Tech Club,https://example.com/image52.jpg
53,Health and Wellness Seminar,Lawyer theory level serious.,Wellness Group,['Blockchain'],2024-11-26T18:31:30,"Room 305, Health Center",81,"Students, Faculty",151,70,Wellness Group,https://example.com/image53.jpg
54,Artificial Intelligence in Healthcare,Worker push religious because value.,Wellness Group,['Technology'],2024-11-07T17:59:08,"Lecture Hall 3, Environmental Science Building",109,Students,171,14,Wellness Group,https://example.com/image54.jpg
55,Sustainability Expo,Necessary media range prevent information around.,CyberSafe Group,['Blockchain'],2024-03-13T21:02:04,"Room 101, Engineering Building",87,Students,156,133,CyberSafe Group,https://example.com/image55.jpg
56,Blockchain for Beginners,Newspaper popular amount writer.,Eco-Action Group,['Innovation'],2024-01-06T16:32:31,"Room 101, Engineering Building",105,Students,58,49,Eco-Action Group,https://example.com/image56.jpg
57,Cybersecurity Awareness Workshop,Attack war individual night majority produce factor.,SmartTech Club,['IoT'],2024-05-18T04:40:18,"Lecture Hall 3, Environmental Science Building",168,"Students, Faculty",134,55,SmartTech Club,https://example.com/image57.jpg
58,Health and Wellness Seminar,Prevent school carry data page.,HealthTech,['Robotics'],2024-07-09T08:28:45,"Lecture Hall 3, Environmental Science Building",178,"Students, Faculty",228,205,HealthTech,https://example.com/image58.jpg
59,Cybersecurity Awareness Workshop,Growth occur claim contain then buy really century.,EcoSolutions,['Innovation'],2024-01-06T15:52:32,"Room 202, Computer Science Building",81,"Students, Faculty",268,107,EcoSolutions,https://example.com/image59.jpg
60,Environmental Awareness Talk,Happen lead write mean arm.,Entrepreneurship Club,['Sustainability'],2024-06-04T04:09:36,"Lecture Hall 3, Environmental Science Building",117,Students,199,154,Entrepreneurship Club,https://example.com/image60.jpg
61,Sustainability Expo,Human section administration be.,EcoSolutions,['Sustainability'],2024-06-20T18:52:16,"Room 101, Engineering Building",171,Students,218,93,EcoSolutions,https://example.com/image61.jpg
62,Smart Campus Workshop,Behind year better other.,Entrepreneurship Club,['IoT'],2024-03-29T03:33:45,"Lecture Hall 3, Environmental Science Building",70,"Students, Faculty",69,13,Entrepreneurship Club,https://example.com/image62.jpg
63,Startup Pitch Competition,Mouth notice put.,Tech Innovators,['Environment'],2024-01-21T13:59:45,"Exhibition Hall, Green Building",83,Students,213,67,Tech Innovators,https://example.com/image63.jpg
64,AI Workshop,Culture return boy lot.,Entrepreneurship Club,['Cybersecurity'],2024-04-02T09:59:32,"Room 101, Engineering Building",138,"Students, Faculty",107,0,Entrepreneurship Club,https://example.com/image64.jpg
65,Blockchain for Beginners,Reason project focus nature scene scene.,CyberSafe Group,['Technology'],2024-10-23T23:11:30,"Exhibition Hall, Science Museum",76,Students,277,57,CyberSafe Group,https://example.com/image65.jpg
66,Cybersecurity Awareness Workshop,Last list paper respond.,Tech Innovators,['Technology'],2024-06-29T23:15:31,"Exhibition Hall, Science Museum",137,Students,51,24,Tech Innovators,https://example.com/image66.jpg
67,Environmental Awareness Talk,Impact single food conference evening score save.,Tech Robotics Association,['Technology'],2024-08-22T01:14:12,"Lecture Hall 3, Environmental Science Building",165,"Students, Faculty",254,24,Tech Robotics Association,https://example.com/image67.jpg
68,Smart Campus Workshop,Stay event enter source green walk seat.,EcoSolutions,['Cybersecurity'],2024-09-01T16:48:19,"Room 202, Computer Science Building",105,Students,109,97,EcoSolutions,https://example.com/image68.jpg
69,Health and Wellness Seminar,Nature culture box appear four kitchen.,CyberSafe Group,['Robotics'],2024-02-25T06:49:55,"Room 202, Computer Science Building",61,Students,152,128,CyberSafe Group,https://example.com/image69.jpg
70,Startup Pitch Competition,Organization despite brother discover across situation.,EcoSolutions,['AI'],2024-06-07T01:24:15,"Room 202, Computer Science Building",132,Students,54,53,EcoSolutions,https://example.com/image70.jpg
71,Robotics and Automation Expo,Choose truth raise three heavy.,EcoSolutions,['Environment'],2024-05-02T16:37:35,"Lecture Hall 3, Environmental Science Building",80,"Students, Faculty",235,136,EcoSolutions,https://example.com/image71.jpg
72,Artificial Intelligence in Healthcare,Well more physical after about dream.,HealthTech,['AI'],2024-01-22T18:33:52,"Room 305, Health Center",123,Students,247,74,HealthTech,https://example.com/image72.jpg
73,Startup Pitch Competition,Point fast assume happen others.,SmartTech Club,['Robotics'],2024-07-24T12:10:26,"Exhibition Hall, Science Museum",110,"Students, Faculty",258,48,SmartTech Club,https://example.com/image73.jpg
74,Environmental Awareness Talk,Expect senior mention mention.,HealthTech,['Mental Health'],2024-01-02T03:14:51,"Exhibition Hall, Science Museum",79,"Students, Faculty",245,105,HealthTech,https://example.com/image74.jpg
75,AI Workshop,Job real can market near involve.,Entrepreneurship Club,['Environment'],2024-07-23T17:46:38,"Exhibition Hall, Science Museum",88,Students,299,53,Entrepreneurship Club,https://example.com/image75.jpg
76,Health and Wellness Seminar,Billion pay good benefit.,Eco-Action Group,['Mental Health'],2024-04-23T08:32:23,"Exhibition Hall, Green Building",135,Students,73,48,Eco-Action Group,https://example.com/image76.jpg
77,Startup Pitch Competition,Fish successful travel.,HealthTech,['Technology'],2024-09-28T00:10:07,"Room 305, Health Center",171,Students,266,263,HealthTech,https://example.com/image77.jpg
78,Startup Pitch Competition,System increase prove be size beyond daughter.,Tech Robotics Association,['Sustainability'],2024-06-04T16:26:20,"Room 202, Computer Science Building",149,Students,215,115,Tech Robotics Association,https://example.com/image78.jpg
79,Environmental Awareness Talk,What five put research blood court.,SmartTech Club,['IoT'],2024-10-25T05:15:25,"Lecture Hall 3, Environmental Science Building",131,"Students, Faculty",187,98,SmartTech Club,https://example.com/image79.jpg
80,Sustainability Expo,Fine wish if material somebody until past machine.,Wellness Group,['Technology'],2024-03-02T16:14:21,"Room 305, Health Center",62,"Students, Faculty",244,173,Wellness Group,https://example.com/image80.jpg
81,Startup Pitch Competition,Collection worker speech avoid discover seek message allow.,SmartTech Club,['Sustainability'],2024-01-10T16:05:35,"Room 101, Engineering Building",149,Students,59,45,SmartTech Club,https://example.com/image81.jpg
82,Environmental Awareness Talk,Process important ago fly enjoy.,CyberSafe Group,['Environment'],2024-05-30T19:48:28,"Room 101, Engineering Building",170,"Students, Faculty",201,42,CyberSafe Group,https://example.com/image82.jpg
83,Artificial Intelligence in Healthcare,Child generation moment power pay million.,CyberSafe Group,['Cybersecurity'],2024-05-20T05:28:38,"Room 305, Health Center",180,Students,284,240,CyberSafe Group,https://example.com/image83.jpg
84,Robotics and Automation Expo,Follow quite talk herself two.,CyberSafe Group,['Blockchain'],2024-06-14T02:47:58,"Room 101, Engineering Building",109,Students,109,87,CyberSafe Group,https://example.com/image84.jpg
85,Blockchain for Beginners,Party special sell join hotel.,EcoSolutions,['IoT'],2024-06-19T18:24:17,"Room 305, Health Center",136,"Students, Faculty",160,100,EcoSolutions,https://example.com/image85.jpg
86,Robotics and Automation Expo,Seek second culture against build.,CyberSafe Group,['Technology'],2024-09-05T23:26:35,"Room 101, Engineering Building",140,Students,160,158,CyberSafe Group,https://example.com/image86.jpg
87,Smart Campus Workshop,Suddenly exactly animal west five doctor art.,Tech Innovators,['Cybersecurity'],2024-09-01T06:41:38,"Lecture Hall 3, Environmental Science Building",143,"Students, Faculty",128,64,Tech Innovators,https://example.com/image87.jpg
88,Cybersecurity Awareness Workshop,While attorney effort office.,SmartTech Club,['Technology'],2024-11-13T09:29:53,"Lecture Hall 3, Environmental Science Building",134,Students,178,166,SmartTech Club,https://example.com/image88.jpg
89,Blockchain for Beginners,Common it create especially.,Wellness Group,['Technology'],2024-04-18T23:43:28,"Room 305, Health Center",99,"Students, Faculty",195,85,Wellness Group,https://example.com/image89.jpg
90,AI Workshop,Beyond glass morning far military ground five.,SmartTech Club,['AI'],2024-02-18T23:16:49,"Lecture Hall 3, Environmental Science Building",71,Students,196,166,SmartTech Club,https://example.com/image90.jpg
91,Cybersecurity Awareness Workshop,Each remain think someone.,SmartTech Club,['Robotics'],2024-04-12T01:55:37,"Room 202, Computer Science Building",80,"Students, Faculty",287,163,SmartTech Club,https://example.com/image91.jpg
92,Smart Campus Workshop,Experience produce table run result government.,CyberSafe Group,['AI'],2024-06-19T02:23:07,"Room 202, Computer Science Building",98,Students,52,33,CyberSafe Group,https://example.com/image92.jpg
93,Artificial Intelligence in Healthcare,Both mention test life close.,SmartTech Club,['Sustainability'],2024-09-09T20:59:23,"Lecture Hall 3, Environmental Science Building",94,Students,259,96,SmartTech Club,https://example.com/image93.jpg
94,Sustainability Expo,Guy by direction for while result especially.,Tech Club,['IoT'],2024-11-29T03:45:05,"Lecture Hall 3, Environmental Science Building",119,"Students, Faculty",298,66,Tech Club,https://example.com/image94.jpg
95,Environmental Awareness Talk,Turn past effort worker.,Tech Innovators,['AI'],2024-02-24T23:00:34,"Room 202, Computer Science Building",92,"Students, Faculty",223,64,Tech Innovators,https://example.com/image95.jpg
96,Environmental Awareness Talk,Cell answer control deep soon particularly concern.,Entrepreneurship Club,['AI'],2024-02-26T18:56:14,"Room 101, Engineering Building",121,Students,190,54,Entrepreneurship Club,https://example.com/image96.jpg
97,Smart Campus Workshop,Public huge imagine anything receive it.,HealthTech,['Cybersecurity'],2024-08-23T00:40:37,"Room 101, Engineering Building",101,Students,109,109,HealthTech,https://example.com/image97.jpg
98,Artificial Intelligence in Healthcare,Small nature mission always skin.,SmartTech Club,['Mental Health'],2024-04-29T16:58:44,"Room 202, Computer Science Building",131,Students,261,104,SmartTech Club,https://example.com/image98.jpg
99,Blockchain for Beginners,Again later focus.,Tech Club,['IoT'],2024-11-15T17:45:50,"Room 305, Health Center",73,Students,94,32,Tech Club,https://example.com/image99.jpg
100,Sustainability Expo,Nearly able poor visit trade.,Entrepreneurship Club,['Technology'],2024-11-03T03:16:57,"Room 202, Computer Science Building",135,Students,206,21,Entrepreneurship Club,https://example.com/image100.jpg
